2023-10-24 14:35:48,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:03,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.31258, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33950.93, 'bid3_size': 0.00123, 'bid4_price': 33950.91, 'bid4_size': 0.00122, 'bid5_price': 33950.76, 'bid5_size': 0.00065, 'ask1_price': 33951.28, 'ask1_size': 6.89599, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00065}
2023-10-24 14:35:48,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:03,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.31258, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33950.93, 'bid3_size': 0.00123, 'bid4_price': 33950.91, 'bid4_size': 0.00122, 'bid5_price': 33950.76, 'bid5_size': 0.00065, 'ask1_price': 33951.28, 'ask1_size': 6.89599, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00065}
2023-10-24 14:35:48,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:03,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.31258, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33950.93, 'bid3_size': 0.00123, 'bid4_price': 33950.91, 'bid4_size': 0.00122, 'bid5_price': 33950.76, 'bid5_size': 0.00065, 'ask1_price': 33951.28, 'ask1_size': 6.89599, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00065}
2023-10-24 14:35:48,413 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.71418, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.61701, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,413 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.71418, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.61701, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,413 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 2.71418, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.61701, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,695 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 4.34641, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.49919, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,695 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 4.34641, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.49919, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,695 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:04,position:0.0,output_action:0,price_info:{'bid1_price': 33951.27, 'bid1_size': 4.34641, 'bid2_price': 33951.17, 'bid2_size': 0.00065, 'bid3_price': 33951.1, 'bid3_size': 0.19403, 'bid4_price': 33951.08, 'bid4_size': 0.0003, 'bid5_price': 33951.03, 'bid5_size': 0.07788, 'ask1_price': 33951.28, 'ask1_size': 6.49919, 'ask2_price': 33951.63, 'ask2_size': 0.00122, 'ask3_price': 33951.93, 'ask3_size': 1.01656, 'ask4_price': 33951.94, 'ask4_size': 0.2, 'ask5_price': 33951.99, 'ask5_size': 0.00217}
2023-10-24 14:35:48,944 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:05,position:0.0,output_action:0,price_info:{'bid1_price': 33945.79, 'bid1_size': 2.82584, 'bid2_price': 33945.51, 'bid2_size': 0.00122, 'bid3_price': 33945.46, 'bid3_size': 1.78724, 'bid4_price': 33945.43, 'bid4_size': 0.00085, 'bid5_price': 33945.19, 'bid5_size': 0.18667, 'ask1_price': 33945.8, 'ask1_size': 7.77304, 'ask2_price': 33945.81, 'ask2_size': 0.17676, 'ask3_price': 33945.95, 'ask3_size': 0.2, 'ask4_price': 33946.23, 'ask4_size': 0.00122, 'ask5_price': 33946.25, 'ask5_size': 0.00065}
2023-10-24 14:35:48,944 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:26:05,position:0.0,output_action:0,price_info:{'bid1_price': 33945.79, 'bid1_size': 2.82584, 'bid2_price': 33945.51, 'bid2_size': 0.00122, 'bid3_price': 33945.46, 'bid3_size': 1.78724, 'bid4_price': 33945.43, 'bid4_size': 0.00085, 'bid5_price': 33945.19, 'bid5_size': 0.18667, 'ask1_price': 33945.8, 'ask1_size': 7.77304, 'ask2_price': 33945.81, 'ask2_size': 0.17676, 'ask3_price': 33945.95, 'ask3_size': 0.2, 'ask4_price': 33946.23, 'ask4_size': 0.00122, 'ask5_price': 33946.25, 'ask5_size': 0.00065}
