2023-10-23 15:15:04,903 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:04,position:0.0,output_action:0,price_info:{'bid1_price': 30654.24, 'bid1_size': 11.54918, 'bid2_price': 30654.16, 'bid2_size': 0.3, 'bid3_price': 30654.08, 'bid3_size': 0.00033, 'bid4_price': 30654.0, 'bid4_size': 0.00022, 'bid5_price': 30653.96, 'bid5_size': 0.00033, 'ask1_price': 30654.25, 'ask1_size': 6.51287, 'ask2_price': 30654.28, 'ask2_size': 0.00022, 'ask3_price': 30654.32, 'ask3_size': 0.00033, 'ask4_price': 30654.34, 'ask4_size': 0.00022, 'ask5_price': 30654.42, 'ask5_size': 0.00022}
2023-10-23 15:15:04,903 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:04,position:0.0,output_action:0,price_info:{'bid1_price': 30654.24, 'bid1_size': 11.54918, 'bid2_price': 30654.16, 'bid2_size': 0.3, 'bid3_price': 30654.08, 'bid3_size': 0.00033, 'bid4_price': 30654.0, 'bid4_size': 0.00022, 'bid5_price': 30653.96, 'bid5_size': 0.00033, 'ask1_price': 30654.25, 'ask1_size': 6.51287, 'ask2_price': 30654.28, 'ask2_size': 0.00022, 'ask3_price': 30654.32, 'ask3_size': 0.00033, 'ask4_price': 30654.34, 'ask4_size': 0.00022, 'ask5_price': 30654.42, 'ask5_size': 0.00022}
2023-10-23 15:15:05,604 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:05,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 10.02011, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.16755, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 4.25723, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.26, 'ask4_size': 0.65377, 'ask5_price': 30659.32, 'ask5_size': 0.00022}
2023-10-23 15:15:05,604 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:05,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 10.02011, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.16755, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 4.25723, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.26, 'ask4_size': 0.65377, 'ask5_price': 30659.32, 'ask5_size': 0.00022}
2023-10-23 15:15:06,470 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:06,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 10.52993, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.91, 'bid4_size': 0.26504, 'bid5_price': 30658.9, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 5.28767, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.24, 'ask4_size': 0.00033, 'ask5_price': 30659.26, 'ask5_size': 0.65377}
2023-10-23 15:15:06,470 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:06,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 10.52993, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.91, 'bid4_size': 0.26504, 'bid5_price': 30658.9, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 5.28767, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.24, 'ask4_size': 0.00033, 'ask5_price': 30659.26, 'ask5_size': 0.65377}
2023-10-23 15:15:07,471 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:07,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 11.30141, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 2.0907, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.21, 'ask4_size': 0.93881, 'ask5_price': 30659.24, 'ask5_size': 0.00033}
2023-10-23 15:15:07,471 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:07,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 11.30141, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 2.0907, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.21, 'ask4_size': 0.93881, 'ask5_price': 30659.24, 'ask5_size': 0.00033}
2023-10-23 15:15:08,488 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:08,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 15.38961, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 3.6256, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.16, 'ask3_size': 0.0886, 'ask4_price': 30659.18, 'ask4_size': 0.00022, 'ask5_price': 30659.21, 'ask5_size': 0.93881}
2023-10-23 15:15:08,488 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:08,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 15.38961, 'bid2_price': 30659.06, 'bid2_size': 0.3, 'bid3_price': 30659.02, 'bid3_size': 0.00066, 'bid4_price': 30658.9, 'bid4_size': 0.00022, 'bid5_price': 30658.76, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 3.6256, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.16, 'ask3_size': 0.0886, 'ask4_price': 30659.18, 'ask4_size': 0.00022, 'ask5_price': 30659.21, 'ask5_size': 0.93881}
2023-10-23 15:15:09,460 - hft_ddqn.py[line:188] - INFO# timestamp:2023-10-23 07:15:09,position:0.0,output_action:0,price_info:{'bid1_price': 30659.08, 'bid1_size': 11.43259, 'bid2_price': 30659.02, 'bid2_size': 0.00066, 'bid3_price': 30658.9, 'bid3_size': 0.00022, 'bid4_price': 30658.76, 'bid4_size': 0.00022, 'bid5_price': 30658.66, 'bid5_size': 0.00022, 'ask1_price': 30659.09, 'ask1_size': 8.96566, 'ask2_price': 30659.12, 'ask2_size': 0.00297, 'ask3_price': 30659.18, 'ask3_size': 0.00022, 'ask4_price': 30659.21, 'ask4_size': 0.93881, 'ask5_price': 30659.24, 'ask5_size': 0.00033}
