2023-10-23 15:31:04,070 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:03,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.17831, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.89, 'bid5_size': 0.22788, 'ask1_price': 30707.01, 'ask1_size': 2.07818, 'ask2_price': 30707.03, 'ask2_size': 0.36542, 'ask3_price': 30707.06, 'ask3_size': 0.00154, 'ask4_price': 30707.12, 'ask4_size': 0.01835, 'ask5_price': 30707.18, 'ask5_size': 0.14811}
2023-10-23 15:31:04,070 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:03,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.17831, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.89, 'bid5_size': 0.22788, 'ask1_price': 30707.01, 'ask1_size': 2.07818, 'ask2_price': 30707.03, 'ask2_size': 0.36542, 'ask3_price': 30707.06, 'ask3_size': 0.00154, 'ask4_price': 30707.12, 'ask4_size': 0.01835, 'ask5_price': 30707.18, 'ask5_size': 0.14811}
2023-10-23 15:31:05,005 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:04,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.27409, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.89, 'bid5_size': 0.22788, 'ask1_price': 30707.01, 'ask1_size': 3.3201, 'ask2_price': 30707.03, 'ask2_size': 0.36542, 'ask3_price': 30707.06, 'ask3_size': 0.00154, 'ask4_price': 30707.12, 'ask4_size': 0.01835, 'ask5_price': 30707.18, 'ask5_size': 0.14811}
2023-10-23 15:31:05,005 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:04,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.27409, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.89, 'bid5_size': 0.22788, 'ask1_price': 30707.01, 'ask1_size': 3.3201, 'ask2_price': 30707.03, 'ask2_size': 0.36542, 'ask3_price': 30707.06, 'ask3_size': 0.00154, 'ask4_price': 30707.12, 'ask4_size': 0.01835, 'ask5_price': 30707.18, 'ask5_size': 0.14811}
2023-10-23 15:31:06,000 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:05,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 11.27282, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.95, 'bid4_size': 0.04, 'bid5_price': 30706.93, 'bid5_size': 0.00667, 'ask1_price': 30707.01, 'ask1_size': 7.18789, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.18, 'ask4_size': 0.14811, 'ask5_price': 30707.19, 'ask5_size': 0.99452}
2023-10-23 15:31:06,000 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:05,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 11.27282, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.95, 'bid4_size': 0.04, 'bid5_price': 30706.93, 'bid5_size': 0.00667, 'ask1_price': 30707.01, 'ask1_size': 7.18789, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.18, 'ask4_size': 0.14811, 'ask5_price': 30707.19, 'ask5_size': 0.99452}
2023-10-23 15:31:06,983 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:06,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.08521, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.86, 'bid5_size': 0.00699, 'ask1_price': 30707.01, 'ask1_size': 1.50889, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.2, 'ask4_size': 0.00168, 'ask5_price': 30707.24, 'ask5_size': 0.00033}
2023-10-23 15:31:06,983 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:06,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.08521, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.86, 'bid5_size': 0.00699, 'ask1_price': 30707.01, 'ask1_size': 1.50889, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.2, 'ask4_size': 0.00168, 'ask5_price': 30707.24, 'ask5_size': 0.00033}
2023-10-23 15:31:07,968 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:07,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 11.88562, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.86, 'bid5_size': 0.00699, 'ask1_price': 30707.01, 'ask1_size': 0.13249, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.2, 'ask4_size': 0.00168, 'ask5_price': 30707.24, 'ask5_size': 0.00033}
2023-10-23 15:31:07,968 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:07,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 11.88562, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.86, 'bid5_size': 0.00699, 'ask1_price': 30707.01, 'ask1_size': 0.13249, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.2, 'ask4_size': 0.00168, 'ask5_price': 30707.24, 'ask5_size': 0.00033}
2023-10-23 15:31:08,991 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:31:08,position:0.0,output_action:0,price_info:{'bid1_price': 30707.0, 'bid1_size': 12.54882, 'bid2_price': 30706.97, 'bid2_size': 0.3, 'bid3_price': 30706.96, 'bid3_size': 0.45, 'bid4_price': 30706.93, 'bid4_size': 0.00667, 'bid5_price': 30706.86, 'bid5_size': 0.00699, 'ask1_price': 30707.01, 'ask1_size': 0.22042, 'ask2_price': 30707.06, 'ask2_size': 0.00154, 'ask3_price': 30707.12, 'ask3_size': 0.01835, 'ask4_price': 30707.2, 'ask4_size': 0.00168, 'ask5_price': 30707.24, 'ask5_size': 0.00033}
