2023-10-23 15:24:03,264 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:02,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 11.03769, 'bid2_price': 30710.57, 'bid2_size': 0.3, 'bid3_price': 30710.48, 'bid3_size': 0.00033, 'bid4_price': 30710.47, 'bid4_size': 0.95119, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 4.33969, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:03,264 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:02,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 11.03769, 'bid2_price': 30710.57, 'bid2_size': 0.3, 'bid3_price': 30710.48, 'bid3_size': 0.00033, 'bid4_price': 30710.47, 'bid4_size': 0.95119, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 4.33969, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:04,042 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:03,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 8.01673, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.95119, 'bid4_price': 30710.42, 'bid4_size': 0.00022, 'bid5_price': 30710.41, 'bid5_size': 0.45, 'ask1_price': 30710.64, 'ask1_size': 5.19311, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:04,042 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:03,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 8.01673, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.95119, 'bid4_price': 30710.42, 'bid4_size': 0.00022, 'bid5_price': 30710.41, 'bid5_size': 0.45, 'ask1_price': 30710.64, 'ask1_size': 5.19311, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:04,966 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:04,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 7.25328, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.65119, 'bid4_price': 30710.46, 'bid4_size': 1.07551, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 5.54142, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:04,966 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:04,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 7.25328, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.65119, 'bid4_price': 30710.46, 'bid4_size': 1.07551, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 5.54142, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:06,010 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:05,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 7.23214, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.65119, 'bid4_price': 30710.46, 'bid4_size': 1.07551, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 5.0147, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:06,010 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:05,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 7.23214, 'bid2_price': 30710.48, 'bid2_size': 0.00033, 'bid3_price': 30710.47, 'bid3_size': 0.65119, 'bid4_price': 30710.46, 'bid4_size': 1.07551, 'bid5_price': 30710.42, 'bid5_size': 0.00022, 'ask1_price': 30710.64, 'ask1_size': 5.0147, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:07,142 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:06,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 8.10644, 'bid2_price': 30710.54, 'bid2_size': 0.00053, 'bid3_price': 30710.48, 'bid3_size': 0.00033, 'bid4_price': 30710.47, 'bid4_size': 0.65119, 'bid5_price': 30710.46, 'bid5_size': 1.07551, 'ask1_price': 30710.64, 'ask1_size': 4.99573, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:07,142 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:06,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 8.10644, 'bid2_price': 30710.54, 'bid2_size': 0.00053, 'bid3_price': 30710.48, 'bid3_size': 0.00033, 'bid4_price': 30710.47, 'bid4_size': 0.65119, 'bid5_price': 30710.46, 'bid5_size': 1.07551, 'ask1_price': 30710.64, 'ask1_size': 4.99573, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
2023-10-23 15:24:07,949 - hft_ddqn.py[line:187] - INFO# timestamp:2023-10-23 07:24:07,position:0.0,output_action:0,price_info:{'bid1_price': 30710.63, 'bid1_size': 8.55886, 'bid2_price': 30710.54, 'bid2_size': 0.00053, 'bid3_price': 30710.52, 'bid3_size': 0.00618, 'bid4_price': 30710.48, 'bid4_size': 0.00033, 'bid5_price': 30710.47, 'bid5_size': 0.65119, 'ask1_price': 30710.64, 'ask1_size': 5.04928, 'ask2_price': 30710.7, 'ask2_size': 0.00022, 'ask3_price': 30710.72, 'ask3_size': 0.00033, 'ask4_price': 30710.8, 'ask4_size': 0.2842, 'ask5_price': 30710.82, 'ask5_size': 0.03266}
