2023-10-24 14:43:07,063 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:06,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.47854, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.71, 'bid5_size': 0.00122, 'ask1_price': 33908.13, 'ask1_size': 7.76467, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:07,785 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:07,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 2.99161, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.83, 'bid5_size': 1.85447, 'ask1_price': 33908.13, 'ask1_size': 7.77442, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:07,785 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:07,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 2.99161, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.83, 'bid5_size': 1.85447, 'ask1_price': 33908.13, 'ask1_size': 7.77442, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:07,785 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:07,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 2.99161, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.94, 'bid4_size': 0.14434, 'bid5_price': 33907.83, 'bid5_size': 1.85447, 'ask1_price': 33908.13, 'ask1_size': 7.77442, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:09,251 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:08,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.04593, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 4.88984, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:09,251 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:08,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.04593, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 4.88984, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:09,251 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:08,position:0.0,output_action:0,price_info:{'bid1_price': 33908.12, 'bid1_size': 0.04593, 'bid2_price': 33908.07, 'bid2_size': 0.00122, 'bid3_price': 33908.02, 'bid3_size': 0.00022, 'bid4_price': 33907.71, 'bid4_size': 0.00122, 'bid5_price': 33907.66, 'bid5_size': 0.00022, 'ask1_price': 33908.13, 'ask1_size': 4.88984, 'ask2_price': 33908.74, 'ask2_size': 0.00022, 'ask3_price': 33908.79, 'ask3_size': 0.00122, 'ask4_price': 33908.8, 'ask4_size': 0.45002, 'ask5_price': 33909.1, 'ask5_size': 0.00022}
2023-10-24 14:43:10,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:09,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.228, 'bid2_price': 33905.95, 'bid2_size': 0.23126, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 7.66794, 'ask2_price': 33906.04, 'ask2_size': 0.0003, 'ask3_price': 33906.21, 'ask3_size': 0.0067, 'ask4_price': 33906.58, 'ask4_size': 0.00022, 'ask5_price': 33906.59, 'ask5_size': 0.2}
2023-10-24 14:43:10,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:09,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.228, 'bid2_price': 33905.95, 'bid2_size': 0.23126, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 7.66794, 'ask2_price': 33906.04, 'ask2_size': 0.0003, 'ask3_price': 33906.21, 'ask3_size': 0.0067, 'ask4_price': 33906.58, 'ask4_size': 0.00022, 'ask5_price': 33906.59, 'ask5_size': 0.2}
2023-10-24 14:43:10,150 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:09,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.228, 'bid2_price': 33905.95, 'bid2_size': 0.23126, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 7.66794, 'ask2_price': 33906.04, 'ask2_size': 0.0003, 'ask3_price': 33906.21, 'ask3_size': 0.0067, 'ask4_price': 33906.58, 'ask4_size': 0.00022, 'ask5_price': 33906.59, 'ask5_size': 0.2}
2023-10-24 14:43:10,776 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:10,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 6.13657, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 3.49899, 'ask2_price': 33906.07, 'ask2_size': 0.03953, 'ask3_price': 33906.15, 'ask3_size': 0.29495, 'ask4_price': 33906.21, 'ask4_size': 0.0067, 'ask5_price': 33906.34, 'ask5_size': 0.29495}
2023-10-24 14:43:10,776 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:10,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 6.13657, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 3.49899, 'ask2_price': 33906.07, 'ask2_size': 0.03953, 'ask3_price': 33906.15, 'ask3_size': 0.29495, 'ask4_price': 33906.21, 'ask4_size': 0.0067, 'ask5_price': 33906.34, 'ask5_size': 0.29495}
2023-10-24 14:43:10,776 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:10,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 6.13657, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 3.49899, 'ask2_price': 33906.07, 'ask2_size': 0.03953, 'ask3_price': 33906.15, 'ask3_size': 0.29495, 'ask4_price': 33906.21, 'ask4_size': 0.0067, 'ask5_price': 33906.34, 'ask5_size': 0.29495}
2023-10-24 14:43:11,699 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:11,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.16251, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.82, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62456, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:11,699 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:11,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.16251, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.82, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62456, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:11,699 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:11,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.16251, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.82, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62456, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:12,681 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:12,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.02611, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62383, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:12,681 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:12,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.02611, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62383, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:12,681 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:12,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 5.02611, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.86, 'bid4_size': 0.00022, 'bid5_price': 33905.81, 'bid5_size': 0.0003, 'ask1_price': 33905.98, 'ask1_size': 5.62383, 'ask2_price': 33906.06, 'ask2_size': 0.00734, 'ask3_price': 33906.07, 'ask3_size': 0.03953, 'ask4_price': 33906.15, 'ask4_size': 0.29495, 'ask5_price': 33906.21, 'ask5_size': 0.0067}
2023-10-24 14:43:13,794 - websocket_consumer.py[line:178] - INFO# timestamp:2023-10-24 06:43:13,position:0.0,output_action:0,price_info:{'bid1_price': 33905.97, 'bid1_size': 7.60683, 'bid2_price': 33905.95, 'bid2_size': 0.02373, 'bid3_price': 33905.91, 'bid3_size': 0.00122, 'bid4_price': 33905.89, 'bid4_size': 0.29495, 'bid5_price': 33905.86, 'bid5_size': 0.00022, 'ask1_price': 33905.98, 'ask1_size': 0.99845, 'ask2_price': 33906.21, 'ask2_size': 0.0067, 'ask3_price': 33906.57, 'ask3_size': 0.025, 'ask4_price': 33906.58, 'ask4_size': 0.00022, 'ask5_price': 33906.63, 'ask5_size': 0.00122}
