2023-10-24 16:25:13,990 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:13,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 10.83124, 'bid2_price': 34108.79, 'bid2_size': 0.02949, 'bid3_price': 34108.6, 'bid3_size': 0.00065, 'bid4_price': 34108.59, 'bid4_size': 0.00122, 'bid5_price': 34108.54, 'bid5_size': 0.00022, 'ask1_price': 34108.81, 'ask1_size': 0.67086, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.07, 'ask3_size': 0.56366, 'ask4_price': 34109.26, 'ask4_size': 0.00022, 'ask5_price': 34109.31, 'ask5_size': 0.00244}
2023-10-24 16:25:14,977 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:14,position:0.0,output_action:0,price_info:{'bid1_price': 34108.8, 'bid1_size': 10.76917, 'bid2_price': 34108.79, 'bid2_size': 0.02949, 'bid3_price': 34108.6, 'bid3_size': 0.00065, 'bid4_price': 34108.59, 'bid4_size': 0.00122, 'bid5_price': 34108.54, 'bid5_size': 0.00022, 'ask1_price': 34108.81, 'ask1_size': 0.67593, 'ask2_price': 34108.95, 'ask2_size': 0.00366, 'ask3_price': 34109.26, 'ask3_size': 0.00022, 'ask4_price': 34109.31, 'ask4_size': 0.00244, 'ask5_price': 34109.32, 'ask5_size': 0.00686}
2023-10-24 16:25:16,959 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:15,position:0.0,output_action:0,price_info:{'bid1_price': 34117.62, 'bid1_size': 4.25742, 'bid2_price': 34117.21, 'bid2_size': 0.00065, 'bid3_price': 34117.18, 'bid3_size': 0.00022, 'bid4_price': 34117.06, 'bid4_size': 0.2, 'bid5_price': 34116.51, 'bid5_size': 0.2, 'ask1_price': 34117.63, 'ask1_size': 0.43444, 'ask2_price': 34117.69, 'ask2_size': 0.62581, 'ask3_price': 34117.86, 'ask3_size': 0.00028, 'ask4_price': 34117.9, 'ask4_size': 0.00022, 'ask5_price': 34117.95, 'ask5_size': 0.00122}
2023-10-24 16:25:17,542 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:16,position:0.0,output_action:0,price_info:{'bid1_price': 34115.96, 'bid1_size': 2.9375, 'bid2_price': 34114.51, 'bid2_size': 0.06567, 'bid3_price': 34114.5, 'bid3_size': 0.28911, 'bid4_price': 34113.94, 'bid4_size': 0.00022, 'bid5_price': 34113.58, 'bid5_size': 0.00022, 'ask1_price': 34115.97, 'ask1_size': 7.21574, 'ask2_price': 34115.98, 'ask2_size': 0.00065, 'ask3_price': 34116.39, 'ask3_size': 0.00065, 'ask4_price': 34116.8, 'ask4_size': 0.00065, 'ask5_price': 34117.06, 'ask5_size': 0.2}
2023-10-24 16:25:18,373 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:17,position:0.0,output_action:0,price_info:{'bid1_price': 34115.96, 'bid1_size': 4.93834, 'bid2_price': 34115.82, 'bid2_size': 1.73754, 'bid3_price': 34115.79, 'bid3_size': 0.00366, 'bid4_price': 34115.43, 'bid4_size': 0.00122, 'bid5_price': 34115.07, 'bid5_size': 0.00122, 'ask1_price': 34115.97, 'ask1_size': 5.09049, 'ask2_price': 34115.98, 'ask2_size': 0.00065, 'ask3_price': 34116.39, 'ask3_size': 0.00065, 'ask4_price': 34116.8, 'ask4_size': 0.00065, 'ask5_price': 34117.18, 'ask5_size': 0.00044}
2023-10-24 16:25:19,299 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:18,position:0.0,output_action:0,price_info:{'bid1_price': 34117.84, 'bid1_size': 3.21874, 'bid2_price': 34117.43, 'bid2_size': 0.58616, 'bid3_price': 34117.21, 'bid3_size': 0.00123, 'bid4_price': 34117.06, 'bid4_size': 0.2, 'bid5_price': 34116.8, 'bid5_size': 0.00065, 'ask1_price': 34117.85, 'ask1_size': 5.80933, 'ask2_price': 34117.86, 'ask2_size': 0.00028, 'ask3_price': 34117.9, 'ask3_size': 0.00022, 'ask4_price': 34117.97, 'ask4_size': 0.0691, 'ask5_price': 34117.98, 'ask5_size': 0.09}
2023-10-24 16:25:20,087 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:19,position:0.0,output_action:0,price_info:{'bid1_price': 34115.96, 'bid1_size': 2.70114, 'bid2_price': 34115.81, 'bid2_size': 0.06571, 'bid3_price': 34115.79, 'bid3_size': 0.00366, 'bid4_price': 34115.71, 'bid4_size': 0.00656, 'bid5_price': 34115.58, 'bid5_size': 0.2931, 'ask1_price': 34115.97, 'ask1_size': 13.106, 'ask2_price': 34115.98, 'ask2_size': 0.25007, 'ask3_price': 34116.1, 'ask3_size': 0.00022, 'ask4_price': 34116.39, 'ask4_size': 0.00065, 'ask5_price': 34116.51, 'ask5_size': 0.2}
2023-10-24 16:25:22,528 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:20,position:0.0,output_action:0,price_info:{'bid1_price': 34108.97, 'bid1_size': 0.05419, 'bid2_price': 34108.9, 'bid2_size': 0.00022, 'bid3_price': 34108.81, 'bid3_size': 0.02931, 'bid4_price': 34108.8, 'bid4_size': 0.08503, 'bid5_price': 34108.6, 'bid5_size': 0.00065, 'ask1_price': 34108.98, 'ask1_size': 2.94767, 'ask2_price': 34110.34, 'ask2_size': 0.02891, 'ask3_price': 34111.11, 'ask3_size': 0.00037, 'ask4_price': 34111.12, 'ask4_size': 0.45, 'ask5_price': 34112.0, 'ask5_size': 0.2}
2023-10-24 16:25:27,804 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:21,position:0.0,output_action:0,price_info:{'bid1_price': 34108.97, 'bid1_size': 7.74841, 'bid2_price': 34108.9, 'bid2_size': 0.00022, 'bid3_price': 34108.81, 'bid3_size': 0.02931, 'bid4_price': 34108.8, 'bid4_size': 0.08503, 'bid5_price': 34108.6, 'bid5_size': 0.00325, 'ask1_price': 34108.98, 'ask1_size': 0.88851, 'ask2_price': 34109.55, 'ask2_size': 1.12118, 'ask3_price': 34109.62, 'ask3_size': 0.00022, 'ask4_price': 34109.74, 'ask4_size': 0.11636, 'ask5_price': 34109.98, 'ask5_size': 0.00022}
2023-10-24 16:25:28,057 - websocket_consumer.py[line:184] - INFO# timestamp:2023-10-24 08:25:22,position:0.0,output_action:0,price_info:{'bid1_price': 34110.68, 'bid1_size': 2.68224, 'bid2_price': 34110.67, 'bid2_size': 1.90058, 'bid3_price': 34110.54, 'bid3_size': 0.45, 'bid4_price': 34110.33, 'bid4_size': 0.24993, 'bid5_price': 34109.98, 'bid5_size': 0.00022, 'ask1_price': 34110.69, 'ask1_size': 0.01995, 'ask2_price': 34110.7, 'ask2_size': 0.00022, 'ask3_price': 34111.06, 'ask3_size': 0.00087, 'ask4_price': 34111.42, 'ask4_size': 0.00022, 'ask5_price': 34111.47, 'ask5_size': 0.00065}
