2023-10-24 15:59:52,397 - websocket_consumer.py[line:197] - INFO# Waiting for message.
2023-10-24 16:00:02,185 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134401, Kline_1s timestep: 1698134401
2023-10-24 16:00:03,176 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134402, Kline_1s timestep: 1698134402
2023-10-24 16:00:03,178 - websocket_consumer.py[line:169] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698134402
2023-10-24 16:00:04,172 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134403, Kline_1s timestep: 1698134403
2023-10-24 16:00:05,175 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134404, Kline_1s timestep: 1698134404
2023-10-24 16:00:06,169 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134405, Kline_1s timestep: 1698134405
2023-10-24 16:00:07,371 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134406, Kline_1s timestep: 1698134406
2023-10-24 16:00:08,184 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134407, Kline_1s timestep: 1698134407
2023-10-24 16:00:09,172 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134408, Kline_1s timestep: 1698134408
2023-10-24 16:00:10,184 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134409, Kline_1s timestep: 1698134409
2023-10-24 16:00:11,173 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134410, Kline_1s timestep: 1698134410
2023-10-24 16:00:12,180 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134411, Kline_1s timestep: 1698134411
2023-10-24 16:00:13,184 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134412, Kline_1s timestep: 1698134412
2023-10-24 16:00:14,181 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134413, Kline_1s timestep: 1698134413
2023-10-24 16:00:15,187 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134414, Kline_1s timestep: 1698134414
2023-10-24 16:00:16,172 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134415, Kline_1s timestep: 1698134415
2023-10-24 16:00:17,179 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134416, Kline_1s timestep: 1698134416
2023-10-24 16:00:18,177 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134417, Kline_1s timestep: 1698134417
2023-10-24 16:00:19,194 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134418, Kline_1s timestep: 1698134418
2023-10-24 16:00:20,176 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134419, Kline_1s timestep: 1698134419
2023-10-24 16:00:21,176 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134420, Kline_1s timestep: 1698134420
2023-10-24 16:00:22,171 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134421, Kline_1s timestep: 1698134421
2023-10-24 16:00:23,366 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134422, Kline_1s timestep: 1698134422
2023-10-24 16:00:24,335 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134423, Kline_1s timestep: 1698134423
2023-10-24 16:00:25,184 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134424, Kline_1s timestep: 1698134424
2023-10-24 16:00:26,191 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134425, Kline_1s timestep: 1698134425
2023-10-24 16:00:27,181 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134426, Kline_1s timestep: 1698134426
2023-10-24 16:00:28,182 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134427, Kline_1s timestep: 1698134427
2023-10-24 16:00:29,174 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134428, Kline_1s timestep: 1698134428
2023-10-24 16:00:30,172 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134429, Kline_1s timestep: 1698134429
2023-10-24 16:00:31,359 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134430, Kline_1s timestep: 1698134430
2023-10-24 16:00:32,171 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134431, Kline_1s timestep: 1698134431
2023-10-24 16:00:33,170 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134432, Kline_1s timestep: 1698134432
2023-10-24 16:00:34,176 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134433, Kline_1s timestep: 1698134433
2023-10-24 16:00:35,199 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134434, Kline_1s timestep: 1698134434
2023-10-24 16:00:36,175 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134435, Kline_1s timestep: 1698134435
2023-10-24 16:00:37,181 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134436, Kline_1s timestep: 1698134436
2023-10-24 16:00:38,179 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134437, Kline_1s timestep: 1698134437
2023-10-24 16:00:39,187 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134438, Kline_1s timestep: 1698134438
2023-10-24 16:00:40,173 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134439, Kline_1s timestep: 1698134439
2023-10-24 16:00:41,186 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134440, Kline_1s timestep: 1698134440
2023-10-24 16:00:42,185 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134441, Kline_1s timestep: 1698134441
2023-10-24 16:00:43,187 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134442, Kline_1s timestep: 1698134442
2023-10-24 16:00:44,181 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134443, Kline_1s timestep: 1698134443
2023-10-24 16:00:45,189 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134444, Kline_1s timestep: 1698134444
2023-10-24 16:00:46,184 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134445, Kline_1s timestep: 1698134445
2023-10-24 16:00:47,367 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134446, Kline_1s timestep: 1698134446
2023-10-24 16:00:48,177 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134447, Kline_1s timestep: 1698134447
2023-10-24 16:00:49,181 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134448, Kline_1s timestep: 1698134448
2023-10-24 16:00:50,187 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134449, Kline_1s timestep: 1698134449
2023-10-24 16:00:51,200 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134450, Kline_1s timestep: 1698134450
2023-10-24 16:00:52,187 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134451, Kline_1s timestep: 1698134451
2023-10-24 16:00:53,182 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134452, Kline_1s timestep: 1698134452
2023-10-24 16:00:54,175 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134453, Kline_1s timestep: 1698134453
2023-10-24 16:00:55,179 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134454, Kline_1s timestep: 1698134454
2023-10-24 16:00:56,179 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134455, Kline_1s timestep: 1698134455
2023-10-24 16:00:57,182 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134456, Kline_1s timestep: 1698134456
2023-10-24 16:00:58,185 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134457, Kline_1s timestep: 1698134457
2023-10-24 16:00:59,174 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134458, Kline_1s timestep: 1698134458
2023-10-24 16:01:00,177 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134459, Kline_1s timestep: 1698134459
2023-10-24 16:01:01,197 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134460, Kline_1s timestep: 1698134460
2023-10-24 16:01:02,198 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134461, Kline_1s timestep: 1698134461
2023-10-24 16:01:03,186 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134462, Kline_1s timestep: 1698134462
2023-10-24 16:01:03,188 - websocket_consumer.py[line:169] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698134462
2023-10-24 16:01:04,176 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698134463, Kline_1s timestep: 1698134463
