2023-10-24 15:02:38,415 - websocket_consumer.py[line:192] - INFO# Waiting for message.
2023-10-24 15:03:59,187 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131038, Kline_1s timestep: 1698131038
2023-10-24 15:03:59,210 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698131038
2023-10-24 15:04:00,165 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131039, Kline_1s timestep: 1698131039
2023-10-24 15:04:01,030 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131040, Kline_1s timestep: 1698131040
2023-10-24 15:04:02,044 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131041, Kline_1s timestep: 1698131041
2023-10-24 15:04:03,038 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131042, Kline_1s timestep: 1698131042
2023-10-24 15:04:03,040 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698131042
2023-10-24 15:04:04,155 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131043, Kline_1s timestep: 1698131043
2023-10-24 15:04:05,041 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131044, Kline_1s timestep: 1698131044
2023-10-24 15:04:06,027 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131045, Kline_1s timestep: 1698131045
2023-10-24 15:04:07,030 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131046, Kline_1s timestep: 1698131046
2023-10-24 15:04:08,034 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131047, Kline_1s timestep: 1698131047
2023-10-24 15:04:09,108 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131048, Kline_1s timestep: 1698131048
2023-10-24 15:04:10,048 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131049, Kline_1s timestep: 1698131049
2023-10-24 15:04:11,041 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131050, Kline_1s timestep: 1698131050
2023-10-24 15:04:12,036 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131051, Kline_1s timestep: 1698131051
2023-10-24 15:04:13,172 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131052, Kline_1s timestep: 1698131052
2023-10-24 15:04:14,028 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131053, Kline_1s timestep: 1698131053
2023-10-24 15:04:15,055 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131054, Kline_1s timestep: 1698131054
2023-10-24 15:04:16,031 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131055, Kline_1s timestep: 1698131055
2023-10-24 15:04:17,030 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131056, Kline_1s timestep: 1698131056
2023-10-24 15:04:18,023 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131057, Kline_1s timestep: 1698131057
2023-10-24 15:04:19,032 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131058, Kline_1s timestep: 1698131058
2023-10-24 15:04:20,047 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131059, Kline_1s timestep: 1698131059
2023-10-24 15:04:21,103 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131060, Kline_1s timestep: 1698131060
