2023-10-24 15:39:24,619 - websocket_consumer.py[line:193] - INFO# Waiting for message.
2023-10-24 15:39:24,619 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132990, Kline_1s timestep: 1698132990
2023-10-24 15:39:24,623 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132991, Kline_1s timestep: 1698132991
2023-10-24 15:39:24,626 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132992, Kline_1s timestep: 1698132992
2023-10-24 15:39:24,629 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132993, Kline_1s timestep: 1698132993
2023-10-24 15:39:24,632 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132994, Kline_1s timestep: 1698132994
2023-10-24 15:39:24,635 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132995, Kline_1s timestep: 1698132995
2023-10-24 15:39:24,638 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132996, Kline_1s timestep: 1698132996
2023-10-24 15:39:24,642 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132997, Kline_1s timestep: 1698132997
2023-10-24 15:39:24,644 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132998, Kline_1s timestep: 1698132998
2023-10-24 15:39:24,647 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132999, Kline_1s timestep: 1698132999
2023-10-24 15:39:24,650 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133000, Kline_1s timestep: 1698133000
2023-10-24 15:39:24,652 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133001, Kline_1s timestep: 1698133001
2023-10-24 15:39:24,655 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133002, Kline_1s timestep: 1698133002
2023-10-24 15:39:24,658 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133003, Kline_1s timestep: 1698133003
2023-10-24 15:39:24,661 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133004, Kline_1s timestep: 1698133004
2023-10-24 15:39:24,664 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133005, Kline_1s timestep: 1698133005
2023-10-24 15:39:24,666 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133006, Kline_1s timestep: 1698133006
2023-10-24 15:39:24,669 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133007, Kline_1s timestep: 1698133007
2023-10-24 15:39:24,671 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133008, Kline_1s timestep: 1698133008
2023-10-24 15:39:24,674 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133009, Kline_1s timestep: 1698133009
2023-10-24 15:39:24,677 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133010, Kline_1s timestep: 1698133010
2023-10-24 15:39:24,680 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133011, Kline_1s timestep: 1698133011
2023-10-24 15:39:24,683 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133012, Kline_1s timestep: 1698133012
2023-10-24 15:39:24,685 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133013, Kline_1s timestep: 1698133013
2023-10-24 15:39:24,687 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133014, Kline_1s timestep: 1698133014
2023-10-24 15:39:24,691 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133015, Kline_1s timestep: 1698133015
2023-10-24 15:39:24,695 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133016, Kline_1s timestep: 1698133016
2023-10-24 15:39:24,697 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133017, Kline_1s timestep: 1698133017
2023-10-24 15:39:24,700 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133018, Kline_1s timestep: 1698133018
2023-10-24 15:39:24,702 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133019, Kline_1s timestep: 1698133019
2023-10-24 15:39:24,705 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133020, Kline_1s timestep: 1698133020
2023-10-24 15:39:24,707 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133021, Kline_1s timestep: 1698133021
2023-10-24 15:39:24,709 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133022, Kline_1s timestep: 1698133022
2023-10-24 15:39:24,712 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698133022
