2023-10-24 16:11:56,661 - websocket_consumer.py[line:197] - INFO# Waiting for message.
2023-10-24 16:12:06,558 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135125, Kline_1s timestep: 1698135125
2023-10-24 16:12:07,477 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135126, Kline_1s timestep: 1698135126
2023-10-24 16:12:07,479 - websocket_consumer.py[line:169] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698135126
2023-10-24 16:12:09,273 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135127, Kline_1s timestep: 1698135127
2023-10-24 16:12:09,472 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135128, Kline_1s timestep: 1698135128
2023-10-24 16:12:10,459 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135129, Kline_1s timestep: 1698135129
2023-10-24 16:12:11,345 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135130, Kline_1s timestep: 1698135130
2023-10-24 16:12:12,255 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135131, Kline_1s timestep: 1698135131
2023-10-24 16:12:13,254 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135132, Kline_1s timestep: 1698135132
2023-10-24 16:12:14,247 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135133, Kline_1s timestep: 1698135133
2023-10-24 16:12:15,222 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135134, Kline_1s timestep: 1698135134
2023-10-24 16:12:16,880 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135135, Kline_1s timestep: 1698135135
2023-10-24 16:12:17,231 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135136, Kline_1s timestep: 1698135136
2023-10-24 16:12:18,248 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135137, Kline_1s timestep: 1698135137
2023-10-24 16:12:19,246 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135138, Kline_1s timestep: 1698135138
2023-10-24 16:12:20,247 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135139, Kline_1s timestep: 1698135139
2023-10-24 16:12:21,899 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135140, Kline_1s timestep: 1698135140
2023-10-24 16:12:24,532 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135141, Kline_1s timestep: 1698135141
2023-10-24 16:12:26,094 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135142, Kline_1s timestep: 1698135142
2023-10-24 16:12:26,729 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135143, Kline_1s timestep: 1698135143
2023-10-24 16:12:28,107 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135144, Kline_1s timestep: 1698135144
2023-10-24 16:12:29,051 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135145, Kline_1s timestep: 1698135145
2023-10-24 16:12:29,237 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135146, Kline_1s timestep: 1698135146
2023-10-24 16:12:29,344 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135147, Kline_1s timestep: 1698135147
2023-10-24 16:12:29,965 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135148, Kline_1s timestep: 1698135148
2023-10-24 16:12:30,632 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135149, Kline_1s timestep: 1698135149
2023-10-24 16:12:31,430 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135150, Kline_1s timestep: 1698135150
2023-10-24 16:12:32,444 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135151, Kline_1s timestep: 1698135151
2023-10-24 16:12:33,245 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135152, Kline_1s timestep: 1698135152
2023-10-24 16:12:34,317 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135153, Kline_1s timestep: 1698135153
2023-10-24 16:12:35,415 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135154, Kline_1s timestep: 1698135154
2023-10-24 16:12:36,440 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135155, Kline_1s timestep: 1698135155
2023-10-24 16:12:37,255 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135156, Kline_1s timestep: 1698135156
2023-10-24 16:12:38,247 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135157, Kline_1s timestep: 1698135157
2023-10-24 16:12:39,254 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135158, Kline_1s timestep: 1698135158
2023-10-24 16:12:40,911 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135159, Kline_1s timestep: 1698135159
2023-10-24 16:12:41,220 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135160, Kline_1s timestep: 1698135160
2023-10-24 16:12:42,702 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135161, Kline_1s timestep: 1698135161
2023-10-24 16:12:43,573 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135162, Kline_1s timestep: 1698135162
2023-10-24 16:12:44,940 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135163, Kline_1s timestep: 1698135163
2023-10-24 16:12:45,309 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135164, Kline_1s timestep: 1698135164
2023-10-24 16:12:46,665 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135165, Kline_1s timestep: 1698135165
2023-10-24 16:12:47,341 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135166, Kline_1s timestep: 1698135166
2023-10-24 16:12:48,264 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135167, Kline_1s timestep: 1698135167
2023-10-24 16:12:50,254 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135169, Kline_1s timestep: 1698135169
2023-10-24 16:12:51,254 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135170, Kline_1s timestep: 1698135170
2023-10-24 16:12:52,254 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135171, Kline_1s timestep: 1698135171
2023-10-24 16:12:54,253 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135173, Kline_1s timestep: 1698135173
2023-10-24 16:12:55,253 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135174, Kline_1s timestep: 1698135174
2023-10-24 16:12:56,253 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135175, Kline_1s timestep: 1698135175
2023-10-24 16:12:57,245 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135176, Kline_1s timestep: 1698135176
2023-10-24 16:12:58,245 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135177, Kline_1s timestep: 1698135177
2023-10-24 16:12:59,252 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135178, Kline_1s timestep: 1698135178
2023-10-24 16:13:01,377 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135179, Kline_1s timestep: 1698135179
2023-10-24 16:13:02,139 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135180, Kline_1s timestep: 1698135180
2023-10-24 16:13:02,697 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135181, Kline_1s timestep: 1698135181
2023-10-24 16:13:02,699 - websocket_consumer.py[line:169] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698135182
2023-10-24 16:13:04,252 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135183, Kline_1s timestep: 1698135183
2023-10-24 16:13:05,560 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135184, Kline_1s timestep: 1698135184
2023-10-24 16:13:06,263 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135185, Kline_1s timestep: 1698135185
2023-10-24 16:13:07,338 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135186, Kline_1s timestep: 1698135186
2023-10-24 16:13:08,212 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135187, Kline_1s timestep: 1698135187
2023-10-24 16:13:09,328 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135188, Kline_1s timestep: 1698135188
2023-10-24 16:13:11,348 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135190, Kline_1s timestep: 1698135190
2023-10-24 16:13:12,207 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135191, Kline_1s timestep: 1698135191
2023-10-24 16:13:13,222 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135192, Kline_1s timestep: 1698135192
2023-10-24 16:13:14,212 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135193, Kline_1s timestep: 1698135193
2023-10-24 16:13:15,306 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135194, Kline_1s timestep: 1698135194
2023-10-24 16:13:16,221 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135195, Kline_1s timestep: 1698135195
2023-10-24 16:13:17,220 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135196, Kline_1s timestep: 1698135196
2023-10-24 16:13:19,218 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135198, Kline_1s timestep: 1698135198
2023-10-24 16:13:20,214 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135199, Kline_1s timestep: 1698135199
2023-10-24 16:13:21,245 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135200, Kline_1s timestep: 1698135200
2023-10-24 16:13:22,213 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135201, Kline_1s timestep: 1698135201
2023-10-24 16:13:23,742 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135202, Kline_1s timestep: 1698135202
2023-10-24 16:13:24,792 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135203, Kline_1s timestep: 1698135203
2023-10-24 16:13:25,351 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135204, Kline_1s timestep: 1698135204
2023-10-24 16:13:26,734 - websocket_consumer.py[line:159] - INFO# Received data from RabbitMQ: Order book timestep: 1698135205, Kline_1s timestep: 1698135205
