2023-10-24 15:14:13,086 - websocket_consumer.py[line:193] - INFO# Waiting for message.
2023-10-24 15:14:20,570 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131660, Kline_1s timestep: 1698131660
2023-10-24 15:14:21,574 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131661, Kline_1s timestep: 1698131661
2023-10-24 15:14:21,576 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698131661
2023-10-24 15:14:22,581 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131662, Kline_1s timestep: 1698131662
2023-10-24 15:14:23,628 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131663, Kline_1s timestep: 1698131663
2023-10-24 15:14:24,570 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131664, Kline_1s timestep: 1698131664
2023-10-24 15:14:25,702 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131665, Kline_1s timestep: 1698131665
2023-10-24 15:14:26,563 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131666, Kline_1s timestep: 1698131666
2023-10-24 15:14:27,568 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131667, Kline_1s timestep: 1698131667
2023-10-24 15:14:28,577 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131668, Kline_1s timestep: 1698131668
2023-10-24 15:14:29,580 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131669, Kline_1s timestep: 1698131669
2023-10-24 15:14:30,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131670, Kline_1s timestep: 1698131670
2023-10-24 15:14:31,568 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131671, Kline_1s timestep: 1698131671
2023-10-24 15:14:32,573 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131672, Kline_1s timestep: 1698131672
2023-10-24 15:14:33,704 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131673, Kline_1s timestep: 1698131673
2023-10-24 15:14:34,565 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131674, Kline_1s timestep: 1698131674
2023-10-24 15:14:35,568 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131675, Kline_1s timestep: 1698131675
2023-10-24 15:14:36,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131676, Kline_1s timestep: 1698131676
2023-10-24 15:14:37,702 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131677, Kline_1s timestep: 1698131677
2023-10-24 15:14:38,563 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131678, Kline_1s timestep: 1698131678
2023-10-24 15:14:39,563 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131679, Kline_1s timestep: 1698131679
2023-10-24 15:14:40,564 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131680, Kline_1s timestep: 1698131680
2023-10-24 15:14:41,704 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131681, Kline_1s timestep: 1698131681
2023-10-24 15:14:42,568 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131682, Kline_1s timestep: 1698131682
2023-10-24 15:14:43,580 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131683, Kline_1s timestep: 1698131683
2023-10-24 15:14:44,565 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131684, Kline_1s timestep: 1698131684
2023-10-24 15:14:45,702 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131685, Kline_1s timestep: 1698131685
2023-10-24 15:14:46,583 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131686, Kline_1s timestep: 1698131686
2023-10-24 15:14:47,567 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131687, Kline_1s timestep: 1698131687
2023-10-24 15:14:48,575 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131688, Kline_1s timestep: 1698131688
2023-10-24 15:14:49,701 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131689, Kline_1s timestep: 1698131689
2023-10-24 15:14:50,558 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131690, Kline_1s timestep: 1698131690
2023-10-24 15:14:51,621 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131691, Kline_1s timestep: 1698131691
2023-10-24 15:14:52,560 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131692, Kline_1s timestep: 1698131692
2023-10-24 15:14:53,699 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131693, Kline_1s timestep: 1698131693
2023-10-24 15:14:54,578 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131694, Kline_1s timestep: 1698131694
2023-10-24 15:14:55,563 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131695, Kline_1s timestep: 1698131695
2023-10-24 15:14:56,588 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131696, Kline_1s timestep: 1698131696
2023-10-24 15:14:57,652 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131697, Kline_1s timestep: 1698131697
2023-10-24 15:14:58,565 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131698, Kline_1s timestep: 1698131698
2023-10-24 15:14:59,626 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131699, Kline_1s timestep: 1698131699
2023-10-24 15:15:00,571 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131700, Kline_1s timestep: 1698131700
2023-10-24 15:15:01,701 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131701, Kline_1s timestep: 1698131701
2023-10-24 15:15:02,573 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131702, Kline_1s timestep: 1698131702
2023-10-24 15:15:03,627 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131703, Kline_1s timestep: 1698131703
2023-10-24 15:15:03,629 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698131702
2023-10-24 15:15:04,571 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131704, Kline_1s timestep: 1698131704
2023-10-24 15:15:05,706 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131705, Kline_1s timestep: 1698131705
2023-10-24 15:15:06,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131706, Kline_1s timestep: 1698131706
2023-10-24 15:15:07,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131707, Kline_1s timestep: 1698131707
2023-10-24 15:15:08,585 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131708, Kline_1s timestep: 1698131708
2023-10-24 15:15:09,703 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131709, Kline_1s timestep: 1698131709
2023-10-24 15:15:10,589 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131710, Kline_1s timestep: 1698131710
2023-10-24 15:15:11,570 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131711, Kline_1s timestep: 1698131711
2023-10-24 15:15:12,595 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131712, Kline_1s timestep: 1698131712
2023-10-24 15:15:13,708 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131713, Kline_1s timestep: 1698131713
2023-10-24 15:15:14,584 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131714, Kline_1s timestep: 1698131714
2023-10-24 15:15:15,627 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131715, Kline_1s timestep: 1698131715
2023-10-24 15:15:16,568 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131716, Kline_1s timestep: 1698131716
2023-10-24 15:15:17,704 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131717, Kline_1s timestep: 1698131717
2023-10-24 15:15:18,571 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131718, Kline_1s timestep: 1698131718
2023-10-24 15:15:19,570 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131719, Kline_1s timestep: 1698131719
2023-10-24 15:15:20,573 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131720, Kline_1s timestep: 1698131720
2023-10-24 15:15:21,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131721, Kline_1s timestep: 1698131721
2023-10-24 15:15:22,571 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131722, Kline_1s timestep: 1698131722
2023-10-24 15:15:23,577 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131723, Kline_1s timestep: 1698131723
2023-10-24 15:15:24,566 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131724, Kline_1s timestep: 1698131724
2023-10-24 15:15:25,577 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131725, Kline_1s timestep: 1698131725
2023-10-24 15:15:26,666 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131726, Kline_1s timestep: 1698131726
2023-10-24 15:15:27,621 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698131727, Kline_1s timestep: 1698131727
