2023-10-24 15:39:48,423 - websocket_consumer.py[line:193] - INFO# Waiting for message.
2023-10-24 15:40:09,765 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133209, Kline_1s timestep: 1698133209
2023-10-24 15:40:09,770 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698133208
2023-10-24 15:40:10,785 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133210, Kline_1s timestep: 1698133210
2023-10-24 15:40:11,743 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133211, Kline_1s timestep: 1698133211
2023-10-24 15:40:12,707 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133212, Kline_1s timestep: 1698133212
2023-10-24 15:40:13,750 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133213, Kline_1s timestep: 1698133213
2023-10-24 15:40:14,638 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133214, Kline_1s timestep: 1698133214
2023-10-24 15:40:15,745 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133215, Kline_1s timestep: 1698133215
2023-10-24 15:40:16,703 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133216, Kline_1s timestep: 1698133216
2023-10-24 15:40:17,648 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133217, Kline_1s timestep: 1698133217
2023-10-24 15:40:18,634 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133218, Kline_1s timestep: 1698133218
2023-10-24 15:40:19,760 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133219, Kline_1s timestep: 1698133219
2023-10-24 15:40:20,705 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133220, Kline_1s timestep: 1698133220
2023-10-24 15:40:21,632 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133221, Kline_1s timestep: 1698133221
2023-10-24 15:40:22,773 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133222, Kline_1s timestep: 1698133222
2023-10-24 15:40:23,626 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133223, Kline_1s timestep: 1698133223
2023-10-24 15:40:24,705 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133224, Kline_1s timestep: 1698133224
2023-10-24 15:40:25,662 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133225, Kline_1s timestep: 1698133225
2023-10-24 15:40:26,798 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133226, Kline_1s timestep: 1698133226
2023-10-24 15:40:27,742 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133227, Kline_1s timestep: 1698133227
2023-10-24 15:40:28,693 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133228, Kline_1s timestep: 1698133228
2023-10-24 15:40:29,625 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133229, Kline_1s timestep: 1698133229
2023-10-24 15:40:30,646 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133230, Kline_1s timestep: 1698133230
2023-10-24 15:40:31,753 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133231, Kline_1s timestep: 1698133231
2023-10-24 15:40:32,635 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133232, Kline_1s timestep: 1698133232
2023-10-24 15:40:33,629 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133233, Kline_1s timestep: 1698133233
2023-10-24 15:40:34,632 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133234, Kline_1s timestep: 1698133234
2023-10-24 15:40:35,645 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133235, Kline_1s timestep: 1698133235
2023-10-24 15:40:36,710 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133236, Kline_1s timestep: 1698133236
2023-10-24 15:40:37,663 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133237, Kline_1s timestep: 1698133237
2023-10-24 15:40:38,790 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133238, Kline_1s timestep: 1698133238
2023-10-24 15:40:39,626 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133239, Kline_1s timestep: 1698133239
2023-10-24 15:40:40,880 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133240, Kline_1s timestep: 1698133240
2023-10-24 15:40:41,631 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133241, Kline_1s timestep: 1698133241
2023-10-24 15:40:42,638 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133242, Kline_1s timestep: 1698133242
2023-10-24 15:40:43,743 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133243, Kline_1s timestep: 1698133243
2023-10-24 15:40:44,712 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133244, Kline_1s timestep: 1698133244
2023-10-24 15:40:45,663 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133245, Kline_1s timestep: 1698133245
2023-10-24 15:40:46,636 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133246, Kline_1s timestep: 1698133246
2023-10-24 15:40:47,632 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133247, Kline_1s timestep: 1698133247
2023-10-24 15:40:48,709 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133248, Kline_1s timestep: 1698133248
2023-10-24 15:40:49,636 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133249, Kline_1s timestep: 1698133249
2023-10-24 15:40:50,635 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133250, Kline_1s timestep: 1698133250
2023-10-24 15:40:51,637 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133251, Kline_1s timestep: 1698133251
2023-10-24 15:40:52,702 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698133252, Kline_1s timestep: 1698133252
