2023-10-22 15:24:59,392 - websocket_consumer.py[line:185] - INFO# Waiting for message.
2023-10-22 15:24:59,392 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958554, Kline_1s timestep: 1697958554
2023-10-22 15:24:59,407 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958555, Kline_1s timestep: 1697958555
2023-10-22 15:24:59,409 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958557, Kline_1s timestep: 1697958557
2023-10-22 15:24:59,410 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958558, Kline_1s timestep: 1697958558
2023-10-22 15:24:59,411 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958559, Kline_1s timestep: 1697958559
2023-10-22 15:24:59,412 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958560, Kline_1s timestep: 1697958560
2023-10-22 15:24:59,413 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958561, Kline_1s timestep: 1697958561
2023-10-22 15:24:59,414 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958562, Kline_1s timestep: 1697958562
2023-10-22 15:24:59,416 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958563, Kline_1s timestep: 1697958563
2023-10-22 15:24:59,417 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958564, Kline_1s timestep: 1697958564
2023-10-22 15:24:59,418 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958565, Kline_1s timestep: 1697958565
2023-10-22 15:24:59,419 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958566, Kline_1s timestep: 1697958566
2023-10-22 15:24:59,420 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958567, Kline_1s timestep: 1697958567
2023-10-22 15:24:59,421 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958568, Kline_1s timestep: 1697958568
2023-10-22 15:24:59,423 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958569, Kline_1s timestep: 1697958569
2023-10-22 15:24:59,424 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958570, Kline_1s timestep: 1697958570
2023-10-22 15:24:59,425 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958572, Kline_1s timestep: 1697958572
2023-10-22 15:24:59,426 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958573, Kline_1s timestep: 1697958573
2023-10-22 15:24:59,427 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958574, Kline_1s timestep: 1697958574
2023-10-22 15:24:59,428 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958575, Kline_1s timestep: 1697958575
2023-10-22 15:24:59,430 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958576, Kline_1s timestep: 1697958576
2023-10-22 15:24:59,431 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958577, Kline_1s timestep: 1697958577
2023-10-22 15:24:59,432 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958578, Kline_1s timestep: 1697958578
2023-10-22 15:24:59,433 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958580, Kline_1s timestep: 1697958580
2023-10-22 15:24:59,434 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958581, Kline_1s timestep: 1697958581
2023-10-22 15:24:59,435 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958582, Kline_1s timestep: 1697958582
2023-10-22 15:24:59,436 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958583, Kline_1s timestep: 1697958583
2023-10-22 15:24:59,438 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958584, Kline_1s timestep: 1697958584
2023-10-22 15:24:59,439 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958585, Kline_1s timestep: 1697958585
2023-10-22 15:24:59,440 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958586, Kline_1s timestep: 1697958586
2023-10-22 15:24:59,441 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958587, Kline_1s timestep: 1697958587
2023-10-22 15:24:59,442 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958588, Kline_1s timestep: 1697958588
2023-10-22 15:24:59,443 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958589, Kline_1s timestep: 1697958589
2023-10-22 15:24:59,445 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958590, Kline_1s timestep: 1697958590
2023-10-22 15:24:59,446 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958591, Kline_1s timestep: 1697958591
2023-10-22 15:24:59,447 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958592, Kline_1s timestep: 1697958592
2023-10-22 15:24:59,448 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958593, Kline_1s timestep: 1697958593
2023-10-22 15:24:59,449 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958594, Kline_1s timestep: 1697958594
2023-10-22 15:24:59,451 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958595, Kline_1s timestep: 1697958595
2023-10-22 15:24:59,452 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958596, Kline_1s timestep: 1697958596
2023-10-22 15:24:59,453 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958597, Kline_1s timestep: 1697958597
2023-10-22 15:24:59,454 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958599, Kline_1s timestep: 1697958599
2023-10-22 15:24:59,455 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958600, Kline_1s timestep: 1697958600
2023-10-22 15:24:59,456 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958601, Kline_1s timestep: 1697958601
2023-10-22 15:24:59,457 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958602, Kline_1s timestep: 1697958602
2023-10-22 15:24:59,458 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1697958602
2023-10-22 15:24:59,459 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958603, Kline_1s timestep: 1697958603
2023-10-22 15:24:59,460 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958604, Kline_1s timestep: 1697958604
2023-10-22 15:24:59,461 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958605, Kline_1s timestep: 1697958605
2023-10-22 15:24:59,463 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958606, Kline_1s timestep: 1697958606
2023-10-22 15:24:59,464 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958607, Kline_1s timestep: 1697958607
2023-10-22 15:24:59,465 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958608, Kline_1s timestep: 1697958608
2023-10-22 15:24:59,466 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958609, Kline_1s timestep: 1697958609
2023-10-22 15:24:59,468 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958610, Kline_1s timestep: 1697958610
2023-10-22 15:24:59,469 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958611, Kline_1s timestep: 1697958611
2023-10-22 15:24:59,470 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958612, Kline_1s timestep: 1697958612
2023-10-22 15:24:59,471 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958613, Kline_1s timestep: 1697958613
2023-10-22 15:24:59,472 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958614, Kline_1s timestep: 1697958614
2023-10-22 15:24:59,474 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958615, Kline_1s timestep: 1697958615
2023-10-22 15:24:59,475 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958616, Kline_1s timestep: 1697958616
2023-10-22 15:24:59,476 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958617, Kline_1s timestep: 1697958617
2023-10-22 15:24:59,477 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958618, Kline_1s timestep: 1697958618
2023-10-22 15:24:59,479 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958619, Kline_1s timestep: 1697958619
2023-10-22 15:24:59,480 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958620, Kline_1s timestep: 1697958620
2023-10-22 15:24:59,481 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958621, Kline_1s timestep: 1697958621
2023-10-22 15:24:59,482 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958622, Kline_1s timestep: 1697958622
2023-10-22 15:24:59,483 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958623, Kline_1s timestep: 1697958623
2023-10-22 15:24:59,484 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958624, Kline_1s timestep: 1697958624
2023-10-22 15:24:59,486 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958625, Kline_1s timestep: 1697958625
2023-10-22 15:24:59,487 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958626, Kline_1s timestep: 1697958626
2023-10-22 15:24:59,488 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958627, Kline_1s timestep: 1697958627
2023-10-22 15:24:59,489 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958628, Kline_1s timestep: 1697958628
2023-10-22 15:24:59,490 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958629, Kline_1s timestep: 1697958629
2023-10-22 15:24:59,491 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958630, Kline_1s timestep: 1697958630
2023-10-22 15:24:59,492 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958631, Kline_1s timestep: 1697958631
2023-10-22 15:24:59,493 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958632, Kline_1s timestep: 1697958632
2023-10-22 15:24:59,495 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958633, Kline_1s timestep: 1697958633
2023-10-22 15:24:59,496 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958634, Kline_1s timestep: 1697958634
2023-10-22 15:24:59,497 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958635, Kline_1s timestep: 1697958635
2023-10-22 15:24:59,498 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958636, Kline_1s timestep: 1697958636
2023-10-22 15:24:59,499 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958637, Kline_1s timestep: 1697958637
2023-10-22 15:24:59,500 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958638, Kline_1s timestep: 1697958638
2023-10-22 15:24:59,501 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958639, Kline_1s timestep: 1697958639
2023-10-22 15:24:59,502 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958640, Kline_1s timestep: 1697958640
2023-10-22 15:24:59,504 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958641, Kline_1s timestep: 1697958641
2023-10-22 15:24:59,505 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958642, Kline_1s timestep: 1697958642
2023-10-22 15:24:59,506 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958643, Kline_1s timestep: 1697958643
2023-10-22 15:24:59,507 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958644, Kline_1s timestep: 1697958644
2023-10-22 15:24:59,508 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958645, Kline_1s timestep: 1697958645
2023-10-22 15:24:59,509 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958646, Kline_1s timestep: 1697958646
2023-10-22 15:24:59,512 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958647, Kline_1s timestep: 1697958647
2023-10-22 15:24:59,514 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958648, Kline_1s timestep: 1697958648
2023-10-22 15:24:59,515 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958649, Kline_1s timestep: 1697958649
2023-10-22 15:24:59,516 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958650, Kline_1s timestep: 1697958650
2023-10-22 15:24:59,517 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958651, Kline_1s timestep: 1697958651
2023-10-22 15:24:59,518 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958652, Kline_1s timestep: 1697958652
2023-10-22 15:24:59,519 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958653, Kline_1s timestep: 1697958653
2023-10-22 15:24:59,520 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958654, Kline_1s timestep: 1697958654
2023-10-22 15:24:59,522 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958655, Kline_1s timestep: 1697958655
2023-10-22 15:24:59,523 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958656, Kline_1s timestep: 1697958656
2023-10-22 15:24:59,524 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958657, Kline_1s timestep: 1697958657
2023-10-22 15:24:59,525 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958658, Kline_1s timestep: 1697958658
2023-10-22 15:24:59,526 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697958659, Kline_1s timestep: 1697958659
