2023-10-23 16:26:25,651 - websocket_consumer.py[line:186] - INFO# Waiting for message.
2023-10-23 16:26:25,652 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049570, Kline_1s timestep: 1698049570
2023-10-23 16:26:25,658 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049571, Kline_1s timestep: 1698049571
2023-10-23 16:26:25,659 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049572, Kline_1s timestep: 1698049572
2023-10-23 16:26:25,661 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049573, Kline_1s timestep: 1698049573
2023-10-23 16:26:25,662 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049574, Kline_1s timestep: 1698049574
2023-10-23 16:26:25,664 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049575, Kline_1s timestep: 1698049575
2023-10-23 16:26:25,665 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049576, Kline_1s timestep: 1698049576
2023-10-23 16:26:25,667 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049577, Kline_1s timestep: 1698049577
2023-10-23 16:26:25,668 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049578, Kline_1s timestep: 1698049578
2023-10-23 16:26:25,670 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049579, Kline_1s timestep: 1698049579
2023-10-23 16:26:25,671 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049580, Kline_1s timestep: 1698049580
2023-10-23 16:26:25,673 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049581, Kline_1s timestep: 1698049581
2023-10-23 16:26:25,675 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049582, Kline_1s timestep: 1698049582
2023-10-23 16:26:25,676 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049583, Kline_1s timestep: 1698049583
2023-10-23 16:26:25,678 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049584, Kline_1s timestep: 1698049584
2023-10-23 16:26:25,679 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049585, Kline_1s timestep: 1698049585
2023-10-23 16:26:26,481 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049586, Kline_1s timestep: 1698049586
2023-10-23 16:26:27,491 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049587, Kline_1s timestep: 1698049587
2023-10-23 16:26:28,485 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049588, Kline_1s timestep: 1698049588
2023-10-23 16:26:29,493 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049589, Kline_1s timestep: 1698049589
2023-10-23 16:26:30,741 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049590, Kline_1s timestep: 1698049590
2023-10-23 16:26:31,487 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049591, Kline_1s timestep: 1698049591
2023-10-23 16:26:32,480 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049592, Kline_1s timestep: 1698049592
2023-10-23 16:26:33,489 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698049593, Kline_1s timestep: 1698049593
