2023-10-22 12:59:25,533 - websocket_consumer.py[line:185] - INFO# Waiting for message.
2023-10-22 12:59:25,535 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950707, Kline_1s timestep: 1697950707
2023-10-22 12:59:25,540 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950708, Kline_1s timestep: 1697950708
2023-10-22 12:59:25,543 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950709, Kline_1s timestep: 1697950709
2023-10-22 12:59:25,546 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950710, Kline_1s timestep: 1697950710
2023-10-22 12:59:25,548 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950711, Kline_1s timestep: 1697950711
2023-10-22 12:59:25,551 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950712, Kline_1s timestep: 1697950712
2023-10-22 12:59:25,553 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950713, Kline_1s timestep: 1697950713
2023-10-22 12:59:25,556 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950714, Kline_1s timestep: 1697950714
2023-10-22 12:59:25,558 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950715, Kline_1s timestep: 1697950715
2023-10-22 12:59:25,561 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950716, Kline_1s timestep: 1697950716
2023-10-22 12:59:25,564 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950717, Kline_1s timestep: 1697950717
2023-10-22 12:59:25,566 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950718, Kline_1s timestep: 1697950718
2023-10-22 12:59:25,569 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950719, Kline_1s timestep: 1697950719
2023-10-22 12:59:25,572 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950720, Kline_1s timestep: 1697950720
2023-10-22 12:59:25,574 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950721, Kline_1s timestep: 1697950721
2023-10-22 12:59:25,577 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950722, Kline_1s timestep: 1697950722
2023-10-22 12:59:25,581 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950723, Kline_1s timestep: 1697950723
2023-10-22 12:59:25,583 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950724, Kline_1s timestep: 1697950724
2023-10-22 12:59:25,586 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950725, Kline_1s timestep: 1697950725
2023-10-22 12:59:25,589 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950726, Kline_1s timestep: 1697950726
2023-10-22 12:59:25,591 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950727, Kline_1s timestep: 1697950727
2023-10-22 12:59:25,594 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950728, Kline_1s timestep: 1697950728
2023-10-22 12:59:25,597 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950729, Kline_1s timestep: 1697950729
2023-10-22 12:59:25,599 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950730, Kline_1s timestep: 1697950730
2023-10-22 12:59:25,603 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950731, Kline_1s timestep: 1697950731
2023-10-22 12:59:25,606 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950732, Kline_1s timestep: 1697950732
2023-10-22 12:59:25,609 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950733, Kline_1s timestep: 1697950733
2023-10-22 12:59:25,611 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950734, Kline_1s timestep: 1697950734
2023-10-22 12:59:25,614 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950735, Kline_1s timestep: 1697950735
2023-10-22 12:59:25,617 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950736, Kline_1s timestep: 1697950736
2023-10-22 12:59:25,620 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950737, Kline_1s timestep: 1697950737
2023-10-22 12:59:25,622 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950738, Kline_1s timestep: 1697950738
2023-10-22 12:59:25,625 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950739, Kline_1s timestep: 1697950739
2023-10-22 12:59:25,628 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950740, Kline_1s timestep: 1697950740
2023-10-22 12:59:25,630 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950741, Kline_1s timestep: 1697950741
2023-10-22 12:59:25,633 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950742, Kline_1s timestep: 1697950742
2023-10-22 12:59:25,635 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1697950742
2023-10-22 12:59:25,637 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950743, Kline_1s timestep: 1697950743
2023-10-22 12:59:25,639 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950744, Kline_1s timestep: 1697950744
2023-10-22 12:59:25,642 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950745, Kline_1s timestep: 1697950745
2023-10-22 12:59:25,644 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950746, Kline_1s timestep: 1697950746
2023-10-22 12:59:25,647 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950747, Kline_1s timestep: 1697950747
2023-10-22 12:59:25,649 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1697950748, Kline_1s timestep: 1697950748
