2023-10-29 21:36:23,613 - websocket_consumer.py[line:213] - INFO# Waiting for message.
2023-10-29 21:36:24,808 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586584, Kline_1s timestep: 1698586584
2023-10-29 21:36:24,825 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698586583
2023-10-29 21:36:25,796 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586585, Kline_1s timestep: 1698586585
2023-10-29 21:36:26,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586586, Kline_1s timestep: 1698586586
2023-10-29 21:36:27,811 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586587, Kline_1s timestep: 1698586587
2023-10-29 21:36:28,795 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586588, Kline_1s timestep: 1698586588
2023-10-29 21:36:29,826 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586589, Kline_1s timestep: 1698586589
2023-10-29 21:36:30,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586590, Kline_1s timestep: 1698586590
2023-10-29 21:36:31,796 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586591, Kline_1s timestep: 1698586591
2023-10-29 21:36:32,793 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586592, Kline_1s timestep: 1698586592
2023-10-29 21:36:33,798 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586593, Kline_1s timestep: 1698586593
2023-10-29 21:36:34,807 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586594, Kline_1s timestep: 1698586594
2023-10-29 21:36:35,815 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586595, Kline_1s timestep: 1698586595
2023-10-29 21:36:36,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586596, Kline_1s timestep: 1698586596
2023-10-29 21:36:37,797 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586597, Kline_1s timestep: 1698586597
2023-10-29 21:36:38,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586598, Kline_1s timestep: 1698586598
2023-10-29 21:36:39,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586599, Kline_1s timestep: 1698586599
2023-10-29 21:36:40,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586600, Kline_1s timestep: 1698586600
2023-10-29 21:36:41,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586601, Kline_1s timestep: 1698586601
2023-10-29 21:36:42,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586602, Kline_1s timestep: 1698586602
2023-10-29 21:36:43,902 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586603, Kline_1s timestep: 1698586603
2023-10-29 21:36:44,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586604, Kline_1s timestep: 1698586604
2023-10-29 21:36:45,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586605, Kline_1s timestep: 1698586605
2023-10-29 21:36:46,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586606, Kline_1s timestep: 1698586606
2023-10-29 21:36:47,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586607, Kline_1s timestep: 1698586607
2023-10-29 21:36:48,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586608, Kline_1s timestep: 1698586608
2023-10-29 21:36:49,801 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586609, Kline_1s timestep: 1698586609
2023-10-29 21:36:50,809 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586610, Kline_1s timestep: 1698586610
2023-10-29 21:36:51,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586611, Kline_1s timestep: 1698586611
2023-10-29 21:36:52,807 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586612, Kline_1s timestep: 1698586612
2023-10-29 21:36:53,801 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586613, Kline_1s timestep: 1698586613
2023-10-29 21:36:54,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586614, Kline_1s timestep: 1698586614
2023-10-29 21:36:55,797 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586615, Kline_1s timestep: 1698586615
2023-10-29 21:36:56,801 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586616, Kline_1s timestep: 1698586616
2023-10-29 21:36:57,797 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586617, Kline_1s timestep: 1698586617
2023-10-29 21:36:58,796 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586618, Kline_1s timestep: 1698586618
2023-10-29 21:36:59,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586619, Kline_1s timestep: 1698586619
2023-10-29 21:37:00,801 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586620, Kline_1s timestep: 1698586620
2023-10-29 21:37:01,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586621, Kline_1s timestep: 1698586621
2023-10-29 21:37:02,816 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586622, Kline_1s timestep: 1698586622
2023-10-29 21:37:02,818 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698586622
2023-10-29 21:37:03,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586623, Kline_1s timestep: 1698586623
2023-10-29 21:37:04,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586624, Kline_1s timestep: 1698586624
2023-10-29 21:37:05,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586625, Kline_1s timestep: 1698586625
2023-10-29 21:37:06,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586626, Kline_1s timestep: 1698586626
2023-10-29 21:37:07,796 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586627, Kline_1s timestep: 1698586627
2023-10-29 21:37:08,798 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586628, Kline_1s timestep: 1698586628
2023-10-29 21:37:09,804 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586629, Kline_1s timestep: 1698586629
2023-10-29 21:37:10,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586630, Kline_1s timestep: 1698586630
2023-10-29 21:37:11,798 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586631, Kline_1s timestep: 1698586631
2023-10-29 21:37:12,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586632, Kline_1s timestep: 1698586632
2023-10-29 21:37:13,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586633, Kline_1s timestep: 1698586633
2023-10-29 21:37:14,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586634, Kline_1s timestep: 1698586634
2023-10-29 21:37:15,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586635, Kline_1s timestep: 1698586635
2023-10-29 21:37:16,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586636, Kline_1s timestep: 1698586636
2023-10-29 21:37:17,796 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586637, Kline_1s timestep: 1698586637
2023-10-29 21:37:18,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586638, Kline_1s timestep: 1698586638
2023-10-29 21:37:19,799 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586639, Kline_1s timestep: 1698586639
2023-10-29 21:37:20,804 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586640, Kline_1s timestep: 1698586640
2023-10-29 21:37:21,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586641, Kline_1s timestep: 1698586641
2023-10-29 21:37:22,826 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586642, Kline_1s timestep: 1698586642
2023-10-29 21:37:23,819 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586643, Kline_1s timestep: 1698586643
2023-10-29 21:37:24,839 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586644, Kline_1s timestep: 1698586644
2023-10-29 21:37:25,800 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586645, Kline_1s timestep: 1698586645
2023-10-29 21:37:26,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586646, Kline_1s timestep: 1698586646
2023-10-29 21:37:27,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586647, Kline_1s timestep: 1698586647
2023-10-29 21:37:28,809 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586648, Kline_1s timestep: 1698586648
2023-10-29 21:37:29,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586649, Kline_1s timestep: 1698586649
2023-10-29 21:37:30,802 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586650, Kline_1s timestep: 1698586650
2023-10-29 21:37:31,809 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586651, Kline_1s timestep: 1698586651
2023-10-29 21:37:32,810 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586652, Kline_1s timestep: 1698586652
2023-10-29 21:37:33,804 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586653, Kline_1s timestep: 1698586653
2023-10-29 21:37:34,804 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586654, Kline_1s timestep: 1698586654
2023-10-29 21:37:35,801 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586655, Kline_1s timestep: 1698586655
2023-10-29 21:37:36,807 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586656, Kline_1s timestep: 1698586656
2023-10-29 21:37:37,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586657, Kline_1s timestep: 1698586657
2023-10-29 21:37:38,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586658, Kline_1s timestep: 1698586658
2023-10-29 21:37:39,805 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586659, Kline_1s timestep: 1698586659
2023-10-29 21:37:40,803 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698586660, Kline_1s timestep: 1698586660
