2023-10-24 15:23:49,998 - websocket_consumer.py[line:193] - INFO# Waiting for message.
2023-10-24 15:24:01,710 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132241, Kline_1s timestep: 1698132241
2023-10-24 15:24:02,598 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132242, Kline_1s timestep: 1698132242
2023-10-24 15:24:02,602 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698132242
2023-10-24 15:24:03,623 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132243, Kline_1s timestep: 1698132243
2023-10-24 15:24:04,596 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132244, Kline_1s timestep: 1698132244
2023-10-24 15:24:05,698 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132245, Kline_1s timestep: 1698132245
2023-10-24 15:24:06,589 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132246, Kline_1s timestep: 1698132246
2023-10-24 15:24:07,625 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132247, Kline_1s timestep: 1698132247
2023-10-24 15:24:08,717 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132248, Kline_1s timestep: 1698132248
2023-10-24 15:24:09,715 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132249, Kline_1s timestep: 1698132249
2023-10-24 15:24:10,606 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132250, Kline_1s timestep: 1698132250
2023-10-24 15:24:11,603 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132251, Kline_1s timestep: 1698132251
2023-10-24 15:24:12,593 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132252, Kline_1s timestep: 1698132252
2023-10-24 15:24:13,704 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132253, Kline_1s timestep: 1698132253
2023-10-24 15:24:14,596 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132254, Kline_1s timestep: 1698132254
2023-10-24 15:24:15,624 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132255, Kline_1s timestep: 1698132255
2023-10-24 15:24:16,746 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132256, Kline_1s timestep: 1698132256
2023-10-24 15:24:17,692 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132257, Kline_1s timestep: 1698132257
2023-10-24 15:24:18,662 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132258, Kline_1s timestep: 1698132258
2023-10-24 15:24:19,620 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132259, Kline_1s timestep: 1698132259
2023-10-24 15:24:20,606 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132260, Kline_1s timestep: 1698132260
2023-10-24 15:24:21,700 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132261, Kline_1s timestep: 1698132261
2023-10-24 15:24:22,589 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132262, Kline_1s timestep: 1698132262
2023-10-24 15:24:23,625 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132263, Kline_1s timestep: 1698132263
2023-10-24 15:24:24,749 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132264, Kline_1s timestep: 1698132264
2023-10-24 15:24:25,599 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132265, Kline_1s timestep: 1698132265
2023-10-24 15:24:26,588 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132266, Kline_1s timestep: 1698132266
2023-10-24 15:24:27,619 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132267, Kline_1s timestep: 1698132267
2023-10-24 15:24:28,583 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132268, Kline_1s timestep: 1698132268
2023-10-24 15:24:29,698 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132269, Kline_1s timestep: 1698132269
2023-10-24 15:24:30,604 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132270, Kline_1s timestep: 1698132270
2023-10-24 15:24:31,617 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132271, Kline_1s timestep: 1698132271
2023-10-24 15:24:32,744 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132272, Kline_1s timestep: 1698132272
2023-10-24 15:24:33,701 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132273, Kline_1s timestep: 1698132273
2023-10-24 15:24:34,602 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132274, Kline_1s timestep: 1698132274
2023-10-24 15:24:35,590 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132275, Kline_1s timestep: 1698132275
2023-10-24 15:24:36,744 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132276, Kline_1s timestep: 1698132276
2023-10-24 15:24:37,704 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132277, Kline_1s timestep: 1698132277
2023-10-24 15:24:38,667 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132278, Kline_1s timestep: 1698132278
2023-10-24 15:24:39,599 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132279, Kline_1s timestep: 1698132279
