2023-10-24 15:25:25,685 - websocket_consumer.py[line:193] - INFO# Waiting for message.
2023-10-24 15:25:37,091 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132336, Kline_1s timestep: 1698132336
2023-10-24 15:25:37,105 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698132336
2023-10-24 15:25:38,155 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132337, Kline_1s timestep: 1698132337
2023-10-24 15:25:39,121 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132338, Kline_1s timestep: 1698132338
2023-10-24 15:25:40,186 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132339, Kline_1s timestep: 1698132339
2023-10-24 15:25:41,095 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132340, Kline_1s timestep: 1698132340
2023-10-24 15:25:42,100 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132341, Kline_1s timestep: 1698132341
2023-10-24 15:25:43,132 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132342, Kline_1s timestep: 1698132342
2023-10-24 15:25:44,245 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132343, Kline_1s timestep: 1698132343
2023-10-24 15:25:45,206 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132344, Kline_1s timestep: 1698132344
2023-10-24 15:25:46,169 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132345, Kline_1s timestep: 1698132345
2023-10-24 15:25:47,123 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132346, Kline_1s timestep: 1698132346
2023-10-24 15:25:48,242 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132347, Kline_1s timestep: 1698132347
2023-10-24 15:25:49,208 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132348, Kline_1s timestep: 1698132348
2023-10-24 15:25:50,163 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132349, Kline_1s timestep: 1698132349
2023-10-24 15:25:51,128 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132350, Kline_1s timestep: 1698132350
2023-10-24 15:25:52,097 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132351, Kline_1s timestep: 1698132351
2023-10-24 15:25:53,196 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132352, Kline_1s timestep: 1698132352
2023-10-24 15:25:54,092 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132353, Kline_1s timestep: 1698132353
2023-10-24 15:25:55,098 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132354, Kline_1s timestep: 1698132354
2023-10-24 15:25:56,258 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132355, Kline_1s timestep: 1698132355
2023-10-24 15:25:57,209 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132356, Kline_1s timestep: 1698132356
2023-10-24 15:25:58,121 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132357, Kline_1s timestep: 1698132357
2023-10-24 15:25:59,117 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132358, Kline_1s timestep: 1698132358
2023-10-24 15:26:00,095 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132359, Kline_1s timestep: 1698132359
2023-10-24 15:26:01,098 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132360, Kline_1s timestep: 1698132360
2023-10-24 15:26:02,178 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132361, Kline_1s timestep: 1698132361
2023-10-24 15:26:03,127 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132362, Kline_1s timestep: 1698132362
2023-10-24 15:26:03,131 - websocket_consumer.py[line:164] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698132362
2023-10-24 15:26:04,251 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132363, Kline_1s timestep: 1698132363
2023-10-24 15:26:05,212 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132364, Kline_1s timestep: 1698132364
2023-10-24 15:26:06,156 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132365, Kline_1s timestep: 1698132365
2023-10-24 15:26:07,128 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132366, Kline_1s timestep: 1698132366
2023-10-24 15:26:08,243 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132367, Kline_1s timestep: 1698132367
2023-10-24 15:26:09,210 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132368, Kline_1s timestep: 1698132368
2023-10-24 15:26:10,112 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132369, Kline_1s timestep: 1698132369
2023-10-24 15:26:11,130 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132370, Kline_1s timestep: 1698132370
2023-10-24 15:26:12,250 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132371, Kline_1s timestep: 1698132371
2023-10-24 15:26:13,197 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132372, Kline_1s timestep: 1698132372
2023-10-24 15:26:14,157 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132373, Kline_1s timestep: 1698132373
2023-10-24 15:26:15,125 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132374, Kline_1s timestep: 1698132374
2023-10-24 15:26:16,235 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132375, Kline_1s timestep: 1698132375
2023-10-24 15:26:17,204 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132376, Kline_1s timestep: 1698132376
2023-10-24 15:26:18,153 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132377, Kline_1s timestep: 1698132377
2023-10-24 15:26:19,127 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132378, Kline_1s timestep: 1698132378
2023-10-24 15:26:20,255 - websocket_consumer.py[line:154] - INFO# Received data from RabbitMQ: Order book timestep: 1698132379, Kline_1s timestep: 1698132379
