2023-10-29 20:37:55,599 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583075, Kline_1s timestep: 1698583075
2023-10-29 20:37:56,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583076, Kline_1s timestep: 1698583076
2023-10-29 20:37:57,614 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583077, Kline_1s timestep: 1698583077
2023-10-29 20:37:59,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583079, Kline_1s timestep: 1698583079
2023-10-29 20:38:01,598 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583081, Kline_1s timestep: 1698583081
2023-10-29 20:38:02,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583082, Kline_1s timestep: 1698583082
2023-10-29 20:38:02,595 - websocket_consumer.py[line:177] - INFO# Received data from RabbitMQ: Kline_1m timestep: 1698583082
2023-10-29 20:38:03,593 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583083, Kline_1s timestep: 1698583083
2023-10-29 20:38:05,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583085, Kline_1s timestep: 1698583085
2023-10-29 20:38:06,616 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583086, Kline_1s timestep: 1698583086
2023-10-29 20:38:08,597 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583088, Kline_1s timestep: 1698583088
2023-10-29 20:38:10,594 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583090, Kline_1s timestep: 1698583090
2023-10-29 20:38:12,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583092, Kline_1s timestep: 1698583092
2023-10-29 20:38:13,622 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583093, Kline_1s timestep: 1698583093
2023-10-29 20:38:14,622 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583094, Kline_1s timestep: 1698583094
2023-10-29 20:38:16,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583096, Kline_1s timestep: 1698583096
2023-10-29 20:38:18,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583098, Kline_1s timestep: 1698583098
